Event ID,Station,Primary station,Event start,Event end,Duration min,Rain total mm,Network mean rain mm,Network max rain mm,Network sum rain mm,Peak 3min mm,Mean intensity mm/h,Available station count,Available stations,Rainy station count,Rainy stations,Station event totals mm,Typology
612,PONT,PONT,2023-07-11 23:42:54,2023-07-12 06:57:55,438.0,9.06,9.06,9.06,9.06,2.92,1.241,1,PONT,1,PONT,PONT:9.06,standard
614,GEOP,GEOP,2023-07-12 19:51:10,2023-07-12 21:54:10,126.0,1.71,1.71,1.71,1.71,0.77,0.8143,1,GEOP,1,GEOP,GEOP:1.71,standard
655,PONT,PONT,2023-07-24 03:00:54,2023-07-24 06:03:54,186.0,4.28,4.28,4.28,4.28,0.42,1.3806,1,PONT,1,PONT,PONT:4.28,high_intensity
657,PONT,PONT,2023-07-24 12:33:54,2023-07-24 14:09:54,99.0,9.43,9.43,9.43,9.43,3.34,5.7152,1,PONT,1,PONT,PONT:9.43,short_intense
658,PONT,PONT,2023-07-24 20:03:54,2023-07-24 21:24:54,84.0,2.28,2.28,2.28,2.28,0.58,1.6286,1,PONT,1,PONT,PONT:2.28,high_intensity
660,BOIS,BOIS,2023-07-25 09:20:52,2023-07-25 14:06:27,288.6,1.79,1.79,1.79,1.79,1.08,0.3722,1,BOIS,1,BOIS,BOIS:1.79,standard
661,RIPR,RIPR,2023-07-25 15:39:27,2023-07-26 05:30:10,833.7,2.31,2.31,2.31,2.31,0.37,0.1662,1,RIPR,1,RIPR,RIPR:2.31,standard
665,RIPR,RIPR,2023-07-28 23:54:27,2023-07-29 03:03:10,191.7,4.03,4.03,4.03,4.03,1.29,1.2612,1,RIPR,1,RIPR,RIPR:4.03,high_intensity
666,LEXP,LEXP,2023-07-29 12:30:29,2023-07-29 20:30:29,483.0,1.5,1.5,1.5,1.5,0.24,0.1863,1,LEXP,1,LEXP,LEXP:1.50,standard
667,GEOP,GEOP,2023-07-30 01:15:10,2023-07-30 07:27:10,375.0,2.68,2.68,2.68,2.68,0.32,0.4288,1,GEOP,1,GEOP,GEOP:2.68,standard
675,PONT,PONT,2023-08-01 13:45:54,2023-08-01 16:48:55,186.0,1.65,1.65,1.65,1.65,0.75,0.5322,1,PONT,1,PONT,PONT:1.65,standard
679,PONT,PONT,2023-08-02 18:06:54,2023-08-02 20:36:54,153.0,5.04,5.04,5.04,5.04,0.78,1.9765,1,PONT,1,PONT,PONT:5.04,high_intensity
681,BOIS,BOIS,2023-08-06 09:05:52,2023-08-06 10:41:52,99.0,1.74,1.74,1.74,1.74,0.37,1.0545,1,BOIS,1,BOIS,BOIS:1.74,standard
682,BOIS,BOIS,2023-08-06 14:05:52,2023-08-06 21:47:52,465.0,1.33,1.33,1.33,1.33,0.24,0.1716,1,BOIS,1,BOIS,BOIS:1.33,standard
719,GEOP,GEOP,2023-08-26 08:51:46,2023-08-26 13:09:54,261.1,29.02,29.02,29.02,29.02,3.06,6.6679,1,GEOP,1,GEOP,GEOP:29.02,high_intensity
720,GEOP,GEOP,2023-08-26 21:15:46,2023-08-27 08:57:46,705.0,25.45,25.45,25.45,25.45,0.47,2.166,1,GEOP,1,GEOP,GEOP:25.45,high_intensity
721,PONT,PONT,2023-08-27 13:45:54,2023-08-27 17:18:46,215.9,2.7,2.7,2.7,2.7,0.29,0.7505,1,PONT,1,PONT,PONT:2.70,standard
723,PONT,PONT,2023-08-28 04:48:54,2023-08-28 12:47:52,482.0,7.02,7.02,7.02,7.02,0.32,0.8739,1,PONT,1,PONT,PONT:7.02,standard
724,BOIS,BOIS,2023-08-28 14:56:52,2023-08-29 08:47:52,1074.0,2.37,2.37,2.37,2.37,0.06,0.1324,1,BOIS,1,BOIS,BOIS:2.37,long_moderate
778,PONT,PONT,2023-09-18 03:54:03,2023-09-18 14:03:03,612.0,45.37,45.37,45.37,45.37,0.97,4.448,1,PONT,1,PONT,PONT:45.37,high_intensity
783,GEOP,GEOP,2023-09-21 16:48:46,2023-09-22 06:15:46,810.0,18.91,18.91,18.91,18.91,0.81,1.4007,1,GEOP,1,GEOP,GEOP:18.91,high_intensity
784,PONT,PONT,2023-09-22 17:12:03,2023-09-22 20:24:03,195.0,6.04,6.04,6.04,6.04,0.45,1.8585,1,PONT,1,PONT,PONT:6.04,high_intensity
872,PONT,PONT,2023-10-18 20:45:03,2023-10-19 11:30:41,888.6,10.99,10.99,10.99,10.99,0.36,0.742,1,PONT,1,PONT,PONT:10.99,long_moderate
874,ELYS,ELYS,2023-10-19 20:30:22,2023-10-20 13:54:22,1047.0,17.63,17.63,17.63,17.63,0.61,1.0103,1,ELYS,1,ELYS,ELYS:17.63,long_high_total
876,ELYS,ELYS,2023-10-20 19:06:22,2023-10-21 16:45:22,1302.0,12.74,12.74,12.74,12.74,0.34,0.5871,1,ELYS,1,ELYS,ELYS:12.74,long_high_total
879,PONT,PONT,2023-10-23 06:36:03,2023-10-23 09:54:43,201.7,1.07,1.07,1.07,1.07,0.1,0.3183,1,PONT,1,PONT,PONT:1.07,standard
880,PONT,PONT,2023-10-24 00:42:03,2023-10-24 14:06:43,807.7,45.57,45.57,45.57,45.57,1.89,3.3853,1,PONT,1,PONT,PONT:45.57,high_intensity
883,PONT,PONT,2023-10-25 05:48:03,2023-10-26 12:18:43,1833.7,31.58,31.58,31.58,31.58,0.82,1.0333,1,PONT,1,PONT,PONT:31.58,long_high_total
884,ELYS,ELYS,2023-10-26 13:57:22,2023-10-27 16:09:22,1575.0,35.9,35.9,35.9,35.9,1.05,1.3676,1,ELYS,1,ELYS,ELYS:35.90,long_high_total
885,PONT,PONT,2023-10-27 17:48:03,2023-10-28 04:47:52,662.8,7.85,7.85,7.85,7.85,0.89,0.7106,1,PONT,1,PONT,PONT:7.85,standard
897,PONT,PONT,2023-10-30 10:24:03,2023-10-31 00:05:52,824.8,22.4,22.4,22.4,22.4,0.57,1.6295,1,PONT,1,PONT,PONT:22.40,high_intensity
900,BOIS,BOIS,2023-10-31 07:05:52,2023-10-31 20:24:41,801.8,4.81,4.81,4.81,4.81,0.17,0.3599,1,BOIS,1,BOIS,BOIS:4.81,standard
906,PONT,PONT,2023-11-02 05:21:03,2023-11-03 06:03:43,1485.7,38.57,38.57,38.57,38.57,0.93,1.5577,1,PONT,1,PONT,PONT:38.57,long_high_total
910,GRVN,GRVN,2023-11-04 07:30:43,2023-11-04 22:21:08,893.4,23.63,23.63,23.63,23.63,0.47,1.5869,1,GRVN,1,GRVN,GRVN:23.63,long_high_total
911,BOIS,BOIS,2023-11-05 00:20:52,2023-11-05 22:50:52,1353.0,9.16,9.16,9.16,9.16,0.15,0.4062,1,BOIS,1,BOIS,BOIS:9.16,long_moderate
937,PONT,PONT,2023-11-19 06:45:03,2023-11-19 19:57:43,795.7,2.63,2.63,2.63,2.63,0.13,0.1983,1,PONT,1,PONT,PONT:2.63,standard
945,GRVN,GRVN,2023-11-24 14:24:43,2023-11-24 19:48:40,326.9,1.01,1.01,1.01,1.01,0.17,0.1853,1,GRVN,1,GRVN,GRVN:1.01,standard
951,RIPR,RIPR,2023-11-27 16:24:40,2023-11-28 16:36:22,1454.7,9.5,9.5,9.5,9.5,0.21,0.3918,1,RIPR,1,RIPR,RIPR:9.50,long_moderate
965,ELYS,ELYS,2023-12-08 02:12:22,2023-12-08 15:27:00,797.6,9.03,9.03,9.03,9.03,0.13,0.6793,1,ELYS,1,ELYS,ELYS:9.03,standard
968,BOIS,BOIS,2023-12-09 13:59:52,2023-12-10 09:44:52,1188.0,14.13,14.13,14.13,14.13,0.3,0.7136,1,BOIS,1,BOIS,BOIS:14.13,long_high_total
970,GRVN,GRVN,2023-12-13 23:27:43,2023-12-14 21:41:52,1337.2,3.44,3.44,3.44,3.44,0.16,0.1544,1,GRVN,1,GRVN,GRVN:3.44,long_moderate
979,PONT,PONT,2023-12-20 02:09:03,2023-12-20 11:00:14,534.2,4.33,4.33,4.33,4.33,0.17,0.4863,1,PONT,1,PONT,PONT:4.33,standard
981,GRVN,GRVN,2023-12-21 20:36:00,2023-12-23 03:20:52,1847.9,4.41,4.41,4.41,4.41,0.21,0.1432,1,GRVN,1,GRVN,GRVN:4.41,long_moderate
988,BOIS,BOIS,2023-12-29 02:38:52,2023-12-29 10:41:52,486.0,1.71,1.71,1.71,1.71,0.11,0.2111,1,BOIS,1,BOIS,BOIS:1.71,standard
989,BOIS,BOIS,2023-12-29 13:50:52,2023-12-30 09:51:00,1203.1,1.01,1.01,1.01,1.01,0.2,0.0504,1,BOIS,1,BOIS,BOIS:1.01,long_moderate
990,BOIS,BOIS,2023-12-31 11:23:52,2024-01-01 06:56:52,1176.0,12.16,12.16,12.16,12.16,0.28,0.6204,1,BOIS,1,BOIS,BOIS:12.16,long_high_total
994,GEOP,GEOP,2024-01-03 13:48:00,2024-01-04 10:51:00,1266.0,5.96,5.535,5.96,11.07,0.37,0.2825,2,"GEOP, GRVN",2,"GEOP, GRVN",GEOP:5.96; GRVN:5.11,long_moderate
996,BOIS,BOIS,2024-01-05 08:14:52,2024-01-06 06:35:52,1344.0,7.43,7.43,7.43,7.43,0.08,0.3317,1,BOIS,1,BOIS,BOIS:7.43,long_moderate
1014,GEOP,GEOP,2024-01-17 00:00:00,2024-01-19 00:45:00,2928.0,55.44,55.44,55.44,55.44,0.74,1.1361,1,GEOP,1,GEOP,GEOP:55.44,long_high_total
1036,GRVN,GRVN,2024-02-07 17:30:00,2024-02-08 11:24:00,1077.0,8.32,7.73,8.32,15.46,0.15,0.4635,2,"GEOP, GRVN",2,"GEOP, GRVN",GEOP:7.14; GRVN:8.32,long_moderate
1037,GRVN,GRVN,2024-02-08 19:18:00,2024-02-09 08:21:00,786.0,2.68,2.27,2.68,4.54,0.1,0.2046,2,"ELYS, GRVN",2,"ELYS, GRVN",ELYS:1.86; GRVN:2.68,standard
1038,GRVN,GRVN,2024-02-09 12:36:00,2024-02-09 21:27:00,534.0,1.27,1.24,1.27,2.48,0.08,0.1427,2,"ELYS, GRVN",2,"ELYS, GRVN",ELYS:1.21; GRVN:1.27,standard
1042,GEOP,GEOP,2024-02-11 16:03:00,2024-02-12 03:36:00,696.0,1.53,1.53,1.53,1.53,0.13,0.1319,1,GEOP,1,GEOP,GEOP:1.53,standard
1049,GRVN,GRVN,2024-02-18 19:57:00,2024-02-19 07:39:00,705.0,4.5,4.315,4.5,8.63,0.34,0.383,2,"GEOP, GRVN",2,"GEOP, GRVN",GEOP:4.13; GRVN:4.50,standard
1052,GRVN,GRVN,2024-02-22 00:24:00,2024-02-23 03:21:00,1620.0,23.44,23.44,23.44,23.44,0.88,0.8681,1,GRVN,1,GRVN,GRVN:23.44,long_high_total
1061,GEOP,GEOP,2024-02-25 20:15:00,2024-02-26 09:15:00,783.0,10.22,9.12,10.22,27.36,0.2,0.7831,3,"ELYS, GEOP, GRVN",3,"ELYS, GEOP, GRVN",ELYS:7.02; GEOP:10.22; GRVN:10.12,multi_station
1084,GRVN,GRVN,2024-03-10 18:06:00,2024-03-11 07:48:00,825.0,2.58,2.58,2.58,2.58,0.29,0.1876,1,GRVN,1,GRVN,GRVN:2.58,standard
1085,BOIS,BOIS,2024-03-12 03:54:00,2024-03-12 10:24:00,393.0,3.23,2.4125,3.23,9.65,0.15,0.4931,4,"BOIS, ELYS, GEOP, GRVN",4,"BOIS, ELYS, GEOP, GRVN",BOIS:3.23; ELYS:2.09; GEOP:2.09; GRVN:2.24,multi_station
1088,GRVN,GRVN,2024-03-15 18:18:00,2024-03-16 07:33:00,798.0,7.43,7.43,7.43,7.43,0.39,0.5586,1,GRVN,1,GRVN,GRVN:7.43,standard
1090,BOIS,BOIS,2024-03-17 20:33:00,2024-03-18 11:45:00,915.0,15.27,14.2967,15.27,42.89,0.33,1.0013,3,"BOIS, ELYS, GRVN",3,"BOIS, ELYS, GRVN",BOIS:15.27; ELYS:12.42; GRVN:15.20,long_high_total
1100,GRVN,GRVN,2024-03-23 04:36:00,2024-03-23 06:00:00,87.0,1.22,1.22,1.22,1.22,0.38,0.8414,1,GRVN,1,GRVN,GRVN:1.22,standard
1108,GRVN,GRVN,2024-03-27 04:57:00,2024-03-27 20:51:00,957.0,15.06,13.0533,15.06,39.16,0.31,0.9442,3,"BOIS, GEOP, GRVN",3,"BOIS, GEOP, GRVN",BOIS:14.06; GEOP:10.04; GRVN:15.06,long_high_total
1109,BOIS,BOIS,2024-03-28 03:24:00,2024-03-28 10:30:00,429.0,4.85,4.015,4.85,16.06,0.44,0.6783,4,"BOIS, ELYS, GEOP, GRVN",4,"BOIS, ELYS, GEOP, GRVN",BOIS:4.85; ELYS:3.55; GEOP:3.85; GRVN:3.81,multi_station
1113,GRVN,GRVN,2024-03-31 21:00:00,2024-04-01 06:48:00,591.0,9.49,9.49,9.49,9.49,0.34,0.9635,1,GRVN,1,GRVN,GRVN:9.49,standard
1115,GEOP,GEOP,2024-04-01 16:12:00,2024-04-02 09:09:00,1020.0,5.76,5.49,5.76,10.98,0.43,0.3388,2,"GEOP, GRVN",2,"GEOP, GRVN",GEOP:5.76; GRVN:5.22,long_moderate
1116,GRVN,GRVN,2024-04-03 04:09:00,2024-04-03 16:42:00,756.0,2.61,2.4,2.61,4.8,0.2,0.2071,2,"GEOP, GRVN",2,"GEOP, GRVN",GEOP:2.19; GRVN:2.61,standard
1117,GRVN,GRVN,2024-04-03 18:27:00,2024-04-04 06:27:00,723.0,3.17,2.5,3.17,5.0,0.21,0.2631,2,"GEOP, GRVN",2,"GEOP, GRVN",GEOP:1.83; GRVN:3.17,standard
1129,GRVN,GRVN,2024-04-09 05:45:00,2024-04-09 12:42:00,420.0,9.46,6.98,9.46,20.94,0.32,1.3514,3,"GEOP, GRVN, ROUV",3,"GEOP, GRVN, ROUV",GEOP:6.17; GRVN:9.46; ROUV:5.31,multi_station
